date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:42	13896/13896	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Sep%202020%2010:05:52%20GMT	http://kamuinet.com/robots.txt		(from )
21:42:42	2210/2210	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Jul%202022%2019:42:42%20GMT	http://kamuinet.com/ENG/	C:/Mis%20lugares%20Web/KamuiNet/kamuinet.com/ENG/index.html	(from )
21:42:43	13896/13896	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Sep%202020%2010:05:52%20GMT	http://kamuinet.com/ENG/apple-touch-icon.png	C:/Mis%20lugares%20Web/KamuiNet/kamuinet.com/ENG/apple-touch-icon.png	(from http://kamuinet.com/ENG/)
21:42:43	113502/113502	---M-Z	200	added ('OK')	text/css	date:Fri,%2002%20Sep%202016%2006:45:22%20GMT	http://kamuinet.com/ENG/css/bootstrap.min.css	C:/Mis%20lugares%20Web/KamuiNet/kamuinet.com/ENG/css/bootstrap.min.css	(from http://kamuinet.com/ENG/)
21:42:43	19839/19839	---M-Z	200	added ('OK')	text/css	date:Fri,%2002%20Sep%202016%2006:45:22%20GMT	http://kamuinet.com/ENG/css/bootstrap-theme.min.css	C:/Mis%20lugares%20Web/KamuiNet/kamuinet.com/ENG/css/bootstrap-theme.min.css	(from http://kamuinet.com/ENG/)
21:42:44	3504/3504	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Sep%202016%2006:07:19%20GMT	http://kamuinet.com/ENG/css/main.css	C:/Mis%20lugares%20Web/KamuiNet/kamuinet.com/ENG/css/main.css	(from http://kamuinet.com/ENG/)
21:42:44	20116/20116	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2002%20Sep%202016%2006:46:52%20GMT	http://kamuinet.com/ENG/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js	C:/Mis%20lugares%20Web/KamuiNet/kamuinet.com/ENG/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js	(from http://kamuinet.com/ENG/)
21:42:45	4427/4427	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Jul%202022%2019:42:45%20GMT	http://kamuinet.com/ENG/html/content.html	C:/Mis%20lugares%20Web/KamuiNet/kamuinet.com/ENG/html/content.html	(from http://kamuinet.com/ENG/)
21:42:47	35607/35607	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2002%20Sep%202016%2006:46:52%20GMT	http://kamuinet.com/ENG/js/vendor/bootstrap.min.js	C:/Mis%20lugares%20Web/KamuiNet/kamuinet.com/ENG/js/vendor/bootstrap.min.js	(from http://kamuinet.com/ENG/)
21:42:47	1533/1533	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2002%20Sep%202016%2006:46:51%20GMT	http://kamuinet.com/ENG/js/main.js	C:/Mis%20lugares%20Web/KamuiNet/kamuinet.com/ENG/js/main.js	(from http://kamuinet.com/ENG/)
21:42:50	95935/95935	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2002%20Sep%202016%2006:46:52%20GMT	http://kamuinet.com/ENG/js/vendor/jquery-1.11.2.min.js	C:/Mis%20lugares%20Web/KamuiNet/kamuinet.com/ENG/js/vendor/jquery-1.11.2.min.js	(from http://kamuinet.com/ENG/)
21:42:51	20335/20335	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2002%20Sep%202016%2006:45:22%20GMT	http://kamuinet.com/ENG/fonts/glyphicons-halflings-regular.eot	C:/Mis%20lugares%20Web/KamuiNet/kamuinet.com/ENG/fonts/glyphicons-halflings-regular.eot	(from http://kamuinet.com/ENG/css/bootstrap.min.css)
21:42:54	23320/23320	---M-Z	200	added ('OK')	application/font-woff	date:Fri,%2002%20Sep%202016%2006:45:22%20GMT	http://kamuinet.com/ENG/fonts/glyphicons-halflings-regular.woff	C:/Mis%20lugares%20Web/KamuiNet/kamuinet.com/ENG/fonts/glyphicons-halflings-regular.woff	(from http://kamuinet.com/ENG/css/bootstrap.min.css)
21:42:54	95931/95931	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/Mis%20lugares%20Web/KamuiNet/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from http://kamuinet.com/ENG/)
21:42:54	20335/20335	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2002%20Sep%202016%2006:45:22%20GMT	http://kamuinet.com/ENG/fonts/glyphicons-halflings-regular.eot?	C:/Mis%20lugares%20Web/KamuiNet/kamuinet.com/ENG/fonts/glyphicons-halflings-regulard41d.eot	(from http://kamuinet.com/ENG/css/bootstrap.min.css)
21:42:55	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Apr%202022%2021:02:38%20GMT	http://www.google-analytics.com/analytics.js	C:/Mis%20lugares%20Web/KamuiNet/www.google-analytics.com/analytics.js	(from http://kamuinet.com/ENG/)
